18;Design 18;This design has completed successfully.;0.7860378719082117;-0.34123664467405806;-0.27825408595938467;1.0;0.18333333333333332 m;0.1 m;0.5333333333333333 m
19;Design 19;This design has completed successfully.;0.8088004398712244;-0.3739961054320137;-0.19923230464355302;1.0;0.18333333333333332 m;0.1 m;0.7666666666666666 m
20;Design 20;This design has failed.;;;;;0.18333333333333332 m;0.1 m;1.0 m
21;Design 21;This design has completed successfully.;0.8087301414190995;-0.3924701338262782;-0.19835880040504372;1.0;0.18333333333333332 m;0.15 m;0.3 m
22;Design 22;This design has completed successfully.;0.7991089892886827;-0.37795334638397937;-0.19875493203595257;1.0;0.18333333333333332 m;0.15 m;0.5333333333333333 m
23;Design 23;This design has completed successfully.;0.8201779689634549;-0.39959017360855337;-0.14345106807565908;1.0;0.18333333333333332 m;0.15 m;0.7666666666666666 m
24;Design 24;This design has failed.;;;;;0.18333333333333332 m;0.15 m;1.0 m
25;Design 25;This design has completed successfully.;0.8298958706261299;-0.41860803913765693;-0.09750383059289176;1.0;0.18333333333333332 m;0.2 m;0.3 m
26;Design 26;This design has completed successfully.;0.8281419606136553;-0.4099761894911183;-0.0995276704749501;1.0;0.18333333333333332 m;0.2 m;0.5333333333333333 m
27;Design 27;This design has completed successfully.;0.8482801473516706;-0.4295926735811665;-0.06921893391712207;1.0;0.18333333333333332 m;0.2 m;0.7666666666666666 m
28;Design 28;This design has failed.;;;;;0.18333333333333332 m;0.2 m;1.0 m
29;Design 29;This design has completed successfully.;0.8647887284768156;-0.4247312445170693;0.013690528052499103;1.0;0.18333333333333332 m;0.25 m;0.3 m
30;Design 30;This design has completed successfully.;0.8681773096911498;-0.42540777640249294;0.013957222395019916;1.0;0.18333333333333332 m;0.25 m;0.5333333333333333 m
31;Design 31;This design has completed successfully.;0.8688252500157749;-0.42466751437428524;0.024412890473476934;1.0;0.18333333333333332 m;0.25 m;0.7666666666666666 m
32;Design 32;This design has failed.;;;;;0.18333333333333332 m;0.25 m;1.0 m
33;Design 33;This design has completed successfully.;0.7707916563812696;-0.2669295070687766;-0.31728276855515497;1.0;0.23666666666666664 m;0.1 m;0.3 m
34;Design 34;This design has completed successfully.;0.784252094538975;-0.25337607217147434;-0.30567849159012495;1.0;0.23666666666666664 m;0.1 m;0.5333333333333333 m
35;Design 35;This design has completed successfully.;0.8056961119631408;-0.2954701456903858;-0.22461643408555954;1.0;0.23666666666666664 m;0.1 m;0.7666666666666666 m
36;Design 36;This design has failed.;;;;;0.23666666666666664 m;0.1 m;1.0 m
37;Design 37;This design has completed successfully.;0.7886879318261024;-0.3065109082923916;-0.22956588829667277;1.0;0.23666666666666664 m;0.15 m;0.3 m
38;Design 38;This design has completed successfully.;0.8006463999160995;-0.29853690938062516;-0.22381973099180197;1.0;0.23666666666666664 m;0.15 m;0.5333333333333333 m
